Title,Company,Location,Platform,Status,Applied At,URL
Node js developer,,Bengaluru,Naukri,Applied,2026-03-22 11:09:09,https://www.naukri.com/job-listings-node-js-developer-ideslabs-private-limited-bengaluru-0-to-2-years-180326916765
Full Stack Developer,,Mumbai,Naukri,Applied,2026-03-22 11:08:46,https://www.naukri.com/job-listings-full-stack-developer-edulab-mumbai-0-to-3-years-180326500470
Fullstack Developer,,"Pune, Chennai",Naukri,Applied,2026-03-22 11:08:22,https://www.naukri.com/job-listings-fullstack-developer-revature-pune-chennai-0-to-1-years-160326010761
Full Stack Developer,,Gurugram,Naukri,Applied,2026-03-22 11:07:58,https://www.naukri.com/job-listings-full-stack-developer-antino-labs-gurugram-0-to-3-years-190326502950
Associate Software Engineer - Automation Tester,,Mumbai,Naukri,Applied,2026-03-22 11:06:46,https://www.naukri.com/job-listings-associate-software-engineer-automation-tester-aegon-religare-life-insurance-company-ltd-mumbai-0-to-1-years-200326504580
Fullstack Developer,,"Pune, Pimpri-Chinchwad",Naukri,Applied,2026-03-22 11:06:20,https://www.naukri.com/job-listings-fullstack-developer-tele-infotech-pimpri-chinchwad-pune-0-to-2-years-220326000054
AI Developer,,Bengaluru,Naukri,Applied,2026-03-22 11:05:39,https://www.naukri.com/job-listings-ai-developer-nextwebi-it-solutions-bengaluru-0-to-2-years-180326500060
Walk-in || Fresher (Non-Voice process) (Navi Mumbai)-Sagility,,Mumbai,Naukri,Applied,2026-03-22 11:05:13,https://www.naukri.com/job-listings-fresher-non-voice-process-navi-mumbai-sagility-sagility-india-navi-mumbai-0-to-0-years-210326008665
Walk-in || Fullstack Developer Intern,,Remote,Naukri,Applied,2026-03-22 11:04:35,https://www.naukri.com/job-listings-fullstack-developer-intern-vmax-india-hyderabad-0-to-1-years-170326030130
Full-Stack NestJS Developer,,"Pune, Mumbai, Bengaluru, Hyderabad, Chennai, Kolkata, New Delhi",Naukri,Applied,2026-03-22 11:04:10,https://www.naukri.com/job-listings-full-stack-nestjs-developer-technource-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-0-to-2-years-200326506100
Jr Node.js and TypeScript back-end Developer,,Mumbai,Naukri,Applied,2026-03-22 11:03:45,https://www.naukri.com/job-listings-jr-node-js-and-typescript-back-end-developer-dmacq-software-pvt-ltd-mumbai-0-to-3-years-160326503542
Fresher Full-Stack JavaScript Developer,,"Pune, Mumbai, Bengaluru, Hyderabad, Chennai, Kolkata, New Delhi",Naukri,Applied,2026-03-22 11:03:20,https://www.naukri.com/job-listings-fresher-full-stack-javascript-developer-technource-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-0-to-1-years-200326506655
React Developer,,Mumbai,Naukri,Applied,2026-03-22 11:02:56,https://www.naukri.com/job-listings-react-developer-edulab-mumbai-0-to-5-years-180326500471
